District,EffectiveLiteracyRate,AvgHouseholdSize,MarriedIlliterateWomen,SexRatio,MarriedBelowLegalAgeFemales,Schooling,DropOut,ChildLabour,AvgTeachersPerSchool,StudentTeacherRatio,StudentClassroomRation,FemaleTeachers,Playground,GirlsToilet,BoysToilet,DrinkingWater,MDM,Road,Electricity,Class5DropOutRate
Mirzapur,71.8,5.7,48.5,963,10.1,90.8,6.7,2.6,4.1,38,29,40.2,66.9,99.7,99.9,98.4,97.5,96.3,31.9,26.66
Lalitpur,69.2,4.9,58.1,889,25.6,91.5,7.8,3.7,3.9,35,29,43.5,53.8,99.6,99.7,100,99.1,95.6,39.8,16.23
Moradabad,71,6,56.2,902,2.6,80.9,17.1,3,5.3,32,29,46.7,67.6,99.7,99.8,99.9,97.3,98.9,46.5,13.22
Pilibhit,71.6,5.5,58.8,880,7.8,78.5,19.4,4.4,3,46,28,37.6,74.5,100,100,99.9,98.3,99.3,41.7,21.14
Ghazipur,75.7,6.1,42.4,1065,5.8,94.3,4.5,1,3.7,39,28,31.5,72,99.4,99.5,99.3,93.1,96.3,40.3,8.46
Mahoba,70.7,4.7,50.1,887,5.2,88.9,9.1,3.4,3.2,38,28,34.4,70.1,98.5,99.3,98.6,97.6,99,59.6,17.37
Farrukhabad,76.1,5.2,47.5,869,3.8,87.6,9.9,3.6,4.2,33,28,38.5,54.6,98.2,98.7,98.7,98.7,90.2,32.6,8.82
Faizabad,72.5,5.1,43,1016,5.9,93,5.8,2.4,4.8,29,28,40.8,76,96.4,98.8,99.2,0,95.7,39,11.7
Etah,77.1,5.8,47.3,884,4,84.5,13.2,1.6,4.5,27,28,34.5,74.6,95.6,97.9,98,98,96.4,31.5,9.43
Kushinagar,67.1,5.6,53.4,1137,6.6,92.5,5.6,3.1,3.6,44,27,27.8,59.6,100,100,97.2,97.8,96.4,32.4,21.32
Muzaffarnagar,77.8,5.9,44.3,888,2.1,83,15.5,2.2,4.3,33,27,46.1,79.7,100,100,99.8,92.7,98.1,71.2,17.68
Ambedkar Nagar,73.1,5.6,48.5,1114,3,94.7,4.6,2.3,4.7,32,27,39.6,64.2,99.8,99.8,96.2,96.3,95.7,35.1,18.25
J P Nagar,71.9,5.8,54.7,930,1.9,86.4,12.7,2.1,4.1,32,27,40.9,67.6,99.7,99.7,99.9,95.6,98.4,55.2,9.45
Shrawasti,51.8,5.1,75.2,984,28.9,80,9.2,4.1,4,32,27,33.7,85.4,99.5,99.7,99.7,95.2,97.4,74,27.65
Hathras,79.6,5.6,44.9,869,3.7,86.4,12.3,1.9,3.9,31,27,38,74.1,100,100,98.3,67.6,95.2,48.5,12.19
Auraiya,81,5,32,876,2.7,92.5,6.6,3.7,3.9,31,27,33.6,65.2,96.9,99.9,99.8,99.1,95.3,49,10.71
Jhansi,79.8,4.5,36.2,875,3.8,91.9,6.9,2.4,5.1,27,27,49.2,63.7,96.1,98.7,98,99.8,96.9,60.2,18.85
Aligarh,77.5,6,43.2,911,1.6,83.4,15,3.2,4.9,27,27,39.9,73.4,98.8,98.8,99.2,92.7,98.2,48.8,5.4
Mainpuri,83.9,5.7,30.4,885,2.4,91.7,7.6,1.3,4.9,25,27,37.5,86.2,99.9,99.9,98.3,96.8,95.5,33.5,24.51
Jalaun,75.8,5,41.8,881,4.7,89.4,8.6,5.4,3.6,29,26,29.3,75.4,92.7,99.1,97.6,97,93.6,43.6,19.24
Hamirpur,73.6,4.8,45.9,862,2.6,91.8,7.3,2.8,4.5,25,26,28.7,68.3,89.7,98.5,97.6,99.1,95.9,46.4,21.03
Saharanpur,80.4,5.7,37.6,919,1.5,82.9,16.1,2.4,4.6,27,25,48.8,84.1,100,100,97.5,94.2,98.7,67.3,12.14
Fatehpur,74,5.2,48.5,920,0.7,89.6,8.9,2.8,4.2,27,25,35.2,65.3,83.7,93.6,96.4,94,95.1,27.3,14.99
Kanpur Dehat,78.6,4.8,35.9,873,2.5,90.8,8.4,4.3,3.9,21,20,39.7,68.9,96.2,99.2,98.8,97.9,97.1,30.1,9.96
